City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sungai Padi,TH,6.0851,101.8766,73.49,95,94,2.28,overcast clouds
1,Mahebourg,MU,-20.4081,57.7,70.09,73,20,6.91,few clouds
2,Clyde River,CA,70.4692,-68.5914,25.03,93,100,16.11,overcast clouds
3,Nanortalik,GL,60.1432,-45.2371,36.54,76,100,5.55,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,68.67,66,27,17.81,scattered clouds
5,Bredasdorp,ZA,-34.5322,20.0403,59.02,97,77,2.06,broken clouds
6,Avarua,CK,-21.2078,-159.775,80.65,61,75,17.27,broken clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,0,14.97,moderate rain
8,Upernavik,GL,72.7868,-56.1549,38.19,92,100,31.45,light rain
9,Barrow,US,71.2906,-156.7887,28.42,80,100,13.8,overcast clouds
10,San Pedro De Macoris,DO,18.4616,-69.2972,80.73,81,10,4.63,clear sky
11,Cheney,US,47.4874,-117.5758,75.13,33,0,5.75,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,37,7.99,scattered clouds
13,Cherskiy,RU,68.75,161.3,-4.04,96,64,4.16,broken clouds
14,Busselton,AU,-33.65,115.3333,52.66,83,1,4.52,clear sky
15,Port Elizabeth,ZA,-33.918,25.5701,62.89,92,75,5.75,broken clouds
16,Pemberton,CA,50.3164,-122.8027,78.21,31,90,4.0,overcast clouds
17,Butaritari,KI,3.0707,172.7902,81.79,77,23,17.07,light rain
18,Grand Gaube,MU,-20.0064,57.6608,70.2,75,28,1.99,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,46.06,76,100,17.27,overcast clouds
20,Kapaa,US,22.0752,-159.319,84.18,70,0,10.36,clear sky
21,Faanui,PF,-16.4833,-151.75,78.01,78,16,17.07,light rain
22,Haicheng,CN,40.8516,122.7475,38.46,49,0,1.77,clear sky
23,Pipri,IN,19.8,75.5333,72.54,91,100,3.24,light rain
24,Torbay,CA,47.6666,-52.7314,59.77,97,100,6.91,overcast clouds
25,Aksu,CN,41.1231,80.2644,53.6,23,68,2.84,broken clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,67.55,85,84,8.01,broken clouds
27,Albany,US,42.6001,-73.9662,54.95,94,100,1.99,overcast clouds
28,Port Hawkesbury,CA,45.6169,-61.3485,56.03,96,59,4.0,broken clouds
29,Sisimiut,GL,66.9395,-53.6735,40.39,89,100,22.75,light rain
30,Cabo San Lucas,MX,22.8909,-109.9124,83.5,65,40,5.75,scattered clouds
31,Honiara,SB,-9.4333,159.95,86.54,63,28,5.06,scattered clouds
32,Doka,SD,13.5167,35.7667,70.92,86,87,11.05,overcast clouds
33,Ponta Do Sol,PT,32.6667,-17.1,74.01,84,45,12.3,light rain
34,Vaini,TO,-21.2,-175.2,82.56,83,40,9.22,scattered clouds
35,South Yuba City,US,39.1166,-121.6391,80.1,45,0,3.44,clear sky
36,Beloha,MG,-25.1667,45.05,68.04,86,0,11.99,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,50.11,71,75,11.5,broken clouds
38,Hobart,AU,-42.8794,147.3294,58.26,69,75,8.05,broken clouds
39,Flinders,AU,-34.5833,150.8552,63.25,82,97,6.64,overcast clouds
40,Jamestown,US,42.097,-79.2353,42.03,66,75,12.66,broken clouds
41,Faya,SA,18.3851,42.4509,59.11,30,53,4.59,broken clouds
42,Paidha,UG,2.4167,30.9855,58.33,85,74,5.84,broken clouds
43,Tasiilaq,GL,65.6145,-37.6368,32.16,68,99,4.61,overcast clouds
44,Esperance,AU,-33.8667,121.9,59.02,69,33,12.33,scattered clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,58.08,87,0,13.0,clear sky
46,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,75,11.5,broken clouds
47,Ilulissat,GL,69.2167,-51.1,37.42,100,100,5.75,light rain
48,Tomatlan,MX,19.9333,-105.25,81.37,89,78,7.29,moderate rain
49,Hilo,US,19.7297,-155.09,92.28,73,0,10.36,clear sky
50,Khatanga,RU,71.9667,102.5,21.61,97,100,6.78,light snow
51,Mataura,NZ,-46.1927,168.8643,47.8,75,71,8.77,broken clouds
52,Kokopo,PG,-4.352,152.2633,84.02,67,100,1.9,overcast clouds
53,Suluq,LY,31.6682,20.2521,66.13,51,42,12.5,scattered clouds
54,Hamilton,US,39.1834,-84.5333,45.45,46,100,18.41,overcast clouds
55,Bentiu,SS,9.2333,29.8333,71.91,90,100,2.35,overcast clouds
56,Moree,AU,-29.4667,149.85,70.7,63,6,14.47,clear sky
57,Bluff,NZ,-46.6,168.3333,48.97,59,62,25.03,broken clouds
58,Bourail,NC,-21.5667,165.4833,79.95,57,65,7.38,broken clouds
59,Deputatskiy,RU,69.3,139.9,2.97,95,95,6.04,overcast clouds
60,Hasaki,JP,35.7333,140.8333,59.4,86,100,19.8,light rain
61,Port Alfred,ZA,-33.5906,26.891,61.18,93,48,1.01,scattered clouds
62,Dikson,RU,73.5069,80.5464,32.18,98,100,27.83,snow
63,Murgab,TM,37.4966,61.9714,62.47,55,40,6.91,scattered clouds
64,Mosetse,BW,-20.75,26.65,74.37,43,95,17.9,overcast clouds
65,Kupino,RU,54.3663,77.2981,39.43,86,94,12.55,overcast clouds
66,Boca Do Acre,BR,-8.7522,-67.3978,79.95,69,95,2.15,overcast clouds
67,Ikryanoye,RU,46.0932,47.7308,40.98,67,33,3.74,scattered clouds
68,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,13.8,light snow
69,Liuzhou,CN,24.3126,109.3892,65.75,48,87,13.42,overcast clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,overcast clouds
71,Dicabisagan,PH,17.0818,122.4157,79.75,87,99,3.83,overcast clouds
72,Geraldton,AU,-28.7667,114.6,54.01,87,0,5.75,clear sky
73,Matay,EG,28.419,30.7792,70.59,66,1,11.7,clear sky
74,Victoria,HK,22.2855,114.1577,73.45,70,100,8.99,overcast clouds
75,Tarakan,ID,3.3,117.6333,78.3,94,40,0.0,scattered clouds
76,Sobolevo,RU,54.4299,31.8996,46.42,94,73,6.26,broken clouds
77,Klaksvik,FO,62.2266,-6.589,43.72,80,100,23.42,overcast clouds
78,Richards Bay,ZA,-28.783,32.0377,71.62,89,95,9.15,overcast clouds
79,Vostok,RU,46.4856,135.8833,29.26,85,100,10.25,overcast clouds
80,Ola,RU,59.5833,151.2833,23.04,60,99,13.58,overcast clouds
81,Samfya,ZM,-11.3649,29.5565,71.65,34,11,9.1,few clouds
82,Brumado,BR,-14.2036,-41.6653,77.61,55,26,9.53,scattered clouds
83,Ust-Tsilma,RU,65.441,52.1498,43.83,89,100,9.15,overcast clouds
84,Grindavik,IS,63.8424,-22.4338,36.07,80,40,3.44,scattered clouds
85,Katsuura,JP,35.1333,140.3,66.04,89,100,14.65,light rain
86,Taoudenni,ML,22.6783,-3.9836,86.88,14,43,12.26,scattered clouds
87,Sawtell,AU,-30.3833,153.1,67.19,82,100,8.05,overcast clouds
88,Ancud,CL,-41.8697,-73.8203,57.13,79,1,3.2,clear sky
89,Calama,CL,-22.4667,-68.9333,63.09,25,0,23.02,clear sky
90,Georgetown,MY,5.4112,100.3354,79.23,88,20,0.0,few clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,42.1,73,91,4.94,overcast clouds
92,Ribeira Grande,PT,38.5167,-28.7,59.77,68,99,5.99,overcast clouds
93,Port Lincoln,AU,-34.7333,135.8667,60.08,81,100,12.86,overcast clouds
94,Bethel,US,41.3712,-73.414,61.65,82,100,16.11,overcast clouds
95,Berdigestyakh,RU,62.0989,126.6992,10.63,98,95,5.44,overcast clouds
96,Kavieng,PG,-2.5744,150.7967,82.99,76,83,15.99,light rain
97,Turan,VN,16.0678,108.2208,80.58,57,75,2.3,broken clouds
98,Mangai,CD,-4.05,19.5333,68.83,99,58,0.98,moderate rain
99,Kidal,ML,18.4411,1.4078,83.03,19,58,12.37,broken clouds
100,Tefe,BR,-3.3542,-64.7114,82.51,83,40,2.3,scattered clouds
101,Seymchan,RU,62.8833,152.4333,-0.45,94,93,1.95,overcast clouds
102,Iquitos,PE,-3.7481,-73.2472,82.44,69,75,2.3,moderate rain
103,Verkhnevilyuysk,RU,63.4453,120.3167,24.8,98,100,3.56,overcast clouds
104,Opuwo,NA,-18.0607,13.84,66.92,42,0,8.21,clear sky
105,Sibiti,CG,-3.6819,13.3499,68.9,97,75,1.66,moderate rain
106,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,mist
107,Mairi,BR,-11.7114,-40.1489,73.54,65,14,14.65,few clouds
108,Hithadhoo,MV,-0.6,73.0833,80.85,71,100,7.2,overcast clouds
109,Ajdabiya,LY,30.7554,20.2263,66.15,58,6,14.18,clear sky
110,Maicao,CO,11.3832,-72.2432,80.69,78,82,5.41,broken clouds
111,Hermanus,ZA,-34.4187,19.2345,58.8,91,96,6.58,overcast clouds
112,Aklavik,CA,68.2191,-135.0107,30.2,86,75,4.61,shower rain
113,Brigantine,US,39.4101,-74.3646,64.06,88,20,8.05,few clouds
114,Bengkulu,ID,-3.8004,102.2655,74.88,90,100,3.24,light rain
115,Qaanaaq,GL,77.484,-69.3632,6.91,76,100,4.25,overcast clouds
116,Smithers,CA,54.7804,-127.1743,57.52,62,75,2.3,broken clouds
117,Namibe,AO,-15.1961,12.1522,66.33,88,52,7.63,broken clouds
118,East London,ZA,-33.0153,27.9116,66.67,85,3,5.86,clear sky
119,Wasilla,US,61.5814,-149.4394,46.89,81,100,10.36,light rain
120,Plettenberg Bay,ZA,-34.0527,23.3716,61.03,89,89,4.63,overcast clouds
121,Nuuk,GL,64.1835,-51.7216,41.61,81,75,25.32,broken clouds
122,Kahului,US,20.8947,-156.47,89.62,59,20,17.27,few clouds
123,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,6.91,few clouds
124,Norman Wells,CA,65.282,-126.8329,35.64,87,75,6.91,broken clouds
125,Yerbogachen,RU,61.2767,108.0108,28.18,79,98,5.99,overcast clouds
126,Bafq,IR,31.6128,55.4107,68.27,14,45,0.74,scattered clouds
127,Kijang,KR,35.2442,129.2139,51.53,47,12,7.23,few clouds
128,Tiksi,RU,71.6872,128.8694,10.67,88,98,14.67,overcast clouds
129,Islamkot,PK,24.6997,70.177,79.86,32,0,7.02,clear sky
130,Yellowknife,CA,62.456,-114.3525,46.92,66,20,15.01,few clouds
131,Matara,LK,5.9485,80.5353,76.12,91,99,7.94,overcast clouds
132,Atuona,PF,-9.8,-139.0333,76.95,75,29,13.71,scattered clouds
133,Udachnyy,RU,66.4167,112.4,14.25,97,100,2.17,overcast clouds
134,Bandarbeyla,SO,9.4942,50.8122,76.89,81,5,4.61,clear sky
135,General Roca,AR,-39.0333,-67.5833,69.62,28,94,10.71,overcast clouds
136,Hami,CN,42.8,93.45,51.73,24,38,1.32,scattered clouds
137,Fortuna,US,40.5982,-124.1573,69.93,73,0,11.5,clear sky
138,Itupiranga,BR,-5.1347,-49.3267,82.72,73,81,3.98,broken clouds
139,Luanda,AO,-8.8368,13.2343,75.2,83,20,10.36,few clouds
140,Dingle,PH,10.9995,122.6711,77.09,90,100,9.53,overcast clouds
141,Talnakh,RU,69.4865,88.3972,31.21,97,99,4.29,light snow
142,Khor,RU,47.8861,134.9464,33.69,64,30,13.76,scattered clouds
143,Goleniow,PL,53.5639,14.8285,66.96,88,0,3.44,moderate rain
144,Nha Trang,VN,12.25,109.1833,73.4,90,100,4.45,overcast clouds
145,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,0,9.22,clear sky
146,Atbasar,KZ,51.8,68.3333,41.43,72,100,7.16,overcast clouds
147,Durban,ZA,-29.8579,31.0292,72.01,94,49,12.28,scattered clouds
148,Kondinskoye,RU,59.6481,67.41,40.93,82,100,6.26,overcast clouds
149,Balkhash,KZ,46.844,74.9804,45.99,50,100,11.16,overcast clouds
150,Pangnirtung,CA,66.1451,-65.7125,26.92,95,100,8.63,light snow
151,Zabol,AF,32.25,67.25,54.57,15,3,2.66,clear sky
152,Afyonkarahisar,TR,38.75,30.6667,49.26,92,58,5.44,broken clouds
153,Codrington,AU,-38.2667,141.9667,56.39,70,100,6.02,overcast clouds
154,Surt,LY,31.2089,16.5887,72.39,68,1,7.02,clear sky
155,Belmonte,BR,-15.8631,-38.8828,74.43,83,0,7.87,clear sky
156,Kieta,PG,-6.2167,155.6333,82.92,71,45,4.25,light rain
157,Khorixas,NA,-20.3667,14.9667,62.87,67,0,1.68,clear sky
158,Camenca,MD,48.0319,28.6978,50.36,40,98,4.43,overcast clouds
159,Jiangyou,CN,31.7667,104.7167,60.93,69,97,2.59,overcast clouds
160,Tevriz,RU,57.509,72.4042,38.79,92,95,5.32,overcast clouds
161,Pacific Grove,US,36.6177,-121.9166,75.54,74,0,9.22,clear sky
162,Provideniya,RU,64.3833,-173.3,33.91,75,100,18.01,overcast clouds
163,Aflao,TG,6.116,1.1914,79.12,83,70,6.06,broken clouds
164,Babu,CN,24.4167,111.5167,64.78,56,100,9.08,overcast clouds
165,Teguise,ES,29.0605,-13.564,68.22,88,0,3.44,clear sky
166,Kavaratti,IN,10.5669,72.642,78.75,87,100,16.96,overcast clouds
167,Pevek,RU,69.7008,170.3133,3.15,95,69,5.17,broken clouds
168,Villa Maria,AR,-32.4075,-63.2402,62.82,66,95,6.89,overcast clouds
169,Mount Gambier,AU,-37.8333,140.7667,58.53,63,100,7.25,overcast clouds
170,Sitka,US,57.0531,-135.33,55.29,88,0,5.75,clear sky
171,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,85,18.41,light rain
172,Leningradskiy,RU,69.3833,178.4167,16.72,90,100,6.44,overcast clouds
173,Asfi,MA,32.2994,-9.2372,72.0,62,62,2.84,broken clouds
174,Ziway,ET,7.9333,38.7167,65.35,56,100,7.56,overcast clouds
175,Tuy Hoa,VN,13.0833,109.3,72.03,91,99,4.61,overcast clouds
176,Akdagmadeni,TR,39.6603,35.8836,50.05,90,92,7.74,overcast clouds
177,Tarut,SA,26.5733,50.0369,75.4,55,57,3.0,broken clouds
178,Yarmouth,US,41.7057,-70.2286,63.07,90,100,8.05,overcast clouds
179,Ostrovnoy,RU,68.0531,39.5131,44.87,88,100,18.92,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,58.37,79,39,13.94,scattered clouds
181,Moron,AR,-34.6534,-58.6198,62.01,83,49,13.15,scattered clouds
182,Longyearbyen,SJ,78.2186,15.6401,19.24,86,20,4.61,few clouds
183,Waipawa,NZ,-41.4122,175.5153,60.12,48,0,7.7,clear sky
184,Eureka,US,40.8021,-124.1637,72.68,80,100,1.99,overcast clouds
185,Beringovskiy,RU,63.05,179.3167,23.85,55,5,2.66,clear sky
186,Salalah,OM,17.0151,54.0924,75.87,55,100,2.26,overcast clouds
187,Pandan Niog,PH,6.2282,120.5631,82.09,74,92,1.34,light rain
188,Egvekinot,RU,66.3167,-179.1667,16.16,74,100,4.88,overcast clouds
189,San Cristobal,VE,7.7669,-72.225,75.38,95,100,1.3,moderate rain
190,Kayerkan,RU,69.3497,87.7602,30.52,100,99,6.87,light snow
191,Lagoa,PT,39.05,-27.9833,62.02,59,99,31.16,light rain
192,Airai,TL,-8.9266,125.4092,66.33,81,99,1.54,overcast clouds
193,New Norfolk,AU,-42.7826,147.0587,57.92,66,98,1.01,overcast clouds
194,Bar Harbor,US,44.3876,-68.2039,57.27,92,100,5.99,overcast clouds
195,Constitucion,CL,-35.3333,-72.4167,53.65,82,64,5.48,broken clouds
196,Hirado,JP,33.3597,129.5531,61.39,62,28,20.11,scattered clouds
197,Marsa Matruh,EG,31.3525,27.2453,71.69,63,43,16.13,scattered clouds
198,Tupelo,US,34.2576,-88.7034,61.09,33,0,12.66,clear sky
199,Portland,US,45.5234,-122.6762,72.81,61,75,4.61,smoke
200,Bubaque,GW,11.2833,-15.8333,81.05,78,94,7.43,overcast clouds
201,Skjervoy,NO,70.0311,20.9714,37.4,86,100,25.46,light rain
202,Envira,BR,-7.3,-70.2167,75.42,90,100,0.96,overcast clouds
203,Bereda,ES,43.2686,-7.5406,59.41,100,5,1.39,clear sky
204,Xinan,CN,26.72,119.8556,64.85,47,100,11.79,overcast clouds
205,Standerton,ZA,-26.9337,29.2415,60.62,67,97,2.84,overcast clouds
206,Honningsvag,NO,70.9821,25.9704,42.55,75,75,27.63,squalls
207,Cape Town,ZA,-33.9258,18.4232,64.9,77,82,11.01,broken clouds
208,Barga,IT,44.0742,10.4808,63.66,92,14,2.71,few clouds
209,Severo-Kurilsk,RU,50.6789,156.125,43.84,77,99,27.89,overcast clouds
210,Bria,CF,6.5423,21.9863,68.18,94,85,2.55,overcast clouds
211,Prainha,BR,-1.8,-53.48,80.85,69,77,1.66,broken clouds
212,Chongwe,ZM,-15.3292,28.682,68.13,39,5,4.61,clear sky
213,Muravlenko,RU,63.7898,74.523,35.28,93,99,6.51,overcast clouds
214,Nishihara,JP,26.1842,127.7558,72.68,78,75,29.93,broken clouds
215,Tabou,CI,4.423,-7.3528,76.15,89,80,4.79,light rain
216,Bridlington,GB,54.0831,-0.1919,53.15,77,1,12.8,clear sky
217,Tezu,IN,27.9167,96.1667,67.51,53,5,3.98,clear sky
218,Nikolskoye,RU,59.7035,30.7861,48.09,88,100,8.72,overcast clouds
219,La Orilla,MX,17.9833,-102.2333,83.21,81,41,2.84,light rain
220,Horqueta,PY,-23.3428,-57.0597,68.5,97,91,3.87,overcast clouds
221,Jega,NG,12.2175,4.3792,80.56,29,7,5.17,clear sky
222,Puerto Leguizamo,CO,-0.1934,-74.7819,77.23,85,91,1.97,heavy intensity rain
223,Boa Vista,BR,2.8197,-60.6733,75.18,83,20,6.91,light rain
224,Batemans Bay,AU,-35.7167,150.1833,62.1,60,96,6.76,overcast clouds
225,Alanya,TR,36.5438,31.9998,66.33,57,90,7.52,overcast clouds
226,Isangel,VU,-19.55,169.2667,84.31,79,75,2.3,broken clouds
227,Wielun,PL,51.221,18.5696,60.13,51,32,14.54,scattered clouds
228,Pakxe,LA,15.1167,105.7833,65.52,83,66,3.65,broken clouds
